DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-15@23:01:02.|96.0|1|22|171579408,171580431,171579151|6|CNCRCANZ41G|29|3196|9225
2016-02-15@23:03:32.|25.0|1|16|171580431|6|CNCRCANZ42G|29|330580|19670579
2016-02-15@23:04:49.|410.0|1|22|171580432,171580688,171580431,171580688,171580431,171580688,171673865,171591695,171579408|6|CNCRCANZ41G|29|29500|53563
2016-02-15@23:06:39.|284.0|1|22|171712783,171579408,171712783,171580431,171580943,171723279,171579408,171535881,171579408,171535881,171579408|6|CNCRCANZ11G|29|662575|594033
2016-02-15@23:07:46.|13.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-15@23:00:13.|630.0|1|22|171580431,171580688,171580431,171580688,171580431,171579408,171580688,171579408,171579409,171579408,171580689|6|CNCRCANZ11G|29|394065|3310012
2016-02-15@23:03:20.|348.0|1|22|171581711,171580432,171581711,171580431,171580688,171580431,171580688,171579408|6|CNCRCANZ51G|29|22452|31960
2016-02-15@23:00:42.|238.0|1|22|171580431,171579408,171723281,171579408,171580688,171579408,171535881,171579408|6|CNCRCANZ51G|29|68867|946408
2016-02-15@23:02:07.|185.0|1|0|171580431,171579409,171581711|6|CNCRCANZ32G|29|924142|71527
2016-02-15@23:02:10.|182.0|1|0|171580431|6|CNCRCANZ32G|29|16114|10532
2016-02-15@23:09:21.|55.0|1|22|171712783,171580431,171581711,171589649,171579408|6|CNCRCANZ41G|29|3330|20093
2016-02-15@23:06:37.|214.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-15@23:01:10.|55.0|1|16|171580431,171580688|6|CNCRCANZ11G|29|299377|19702448
2016-02-15@23:00:37.|93.0|1|22|171580431|6|CNCRCAGW01-PGW|29|0|0
2016-02-15@23:02:29.|71.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-15@23:00:24.|112.0|1|22|171582223,171580431|6|CNCRCANZ52G|29|280|296
