DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-21@23:05:54.|93.0|1|0|171580431,171581711|6|CNCRCANZ42G|29|300348|235952
2016-02-21@23:01:16.|399.0|1|0|171723280,171579408,171580431,171723280|6|CNCRCANZ42G|29|5629|17605
2016-02-21@23:01:30.|64.0|1|0|171579408,171580431,171723280,171578896,171723280,171578896|6|CNCRCANZ42G|29|149058|170750
2016-02-21@23:04:06.|8.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:04:06.|8.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:06:33.|8.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:04:42.|34.0|1|22|171580431|6|CNCRCANZ12G|29|3857|5323
2016-02-21@23:04:45.|363.0|1|22|171579408,171580432,171580431,171579408,171580431,171580688|6|CNCRCANZ41G|29|4961|4190
2016-02-21@23:03:58.|19.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:07:25.|70.0|1|16|171580431|6|CNCRCANZ31G|29|420620|19580954
2016-02-21@23:03:41.|12.0|1|22|171580431,171581711|6|CNCRCANZ31G|29|3129|6706
2016-02-21@23:03:41.|12.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-21@23:08:44.|209.0|1|22|171580431|6|CNCRCANZ11G|29|7840|2685
2016-02-21@23:05:48.|0.0|1|19|171580431,171580175|6|CNCRCANZ42G|29|350|606
2016-02-21@23:08:38.|0.0|1|19|171580431,171581961|6|CNCRCANZ11G|29|137|227
2016-02-21@23:05:43.|0.0|1|19|171603216,171580431|6|CNCRCANZ31G|29|62|109
2016-02-21@23:00:49.|190.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-21@23:05:17.|146.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-21@23:00:48.|56.0|1|22|171580431,171580945,171580431|6|CNCRCANZ31G|29|12647|13379
2016-02-21@23:07:23.|148.0|1|22|171580431|6|CNCRCANZ52G|29|7063|6188
2016-02-21@23:02:55.|44.0|1|22|171580431,171580432,171581711,171580431|6|HSTNTXGW01-PGW|29|11398|17303
2016-02-21@23:02:43.|72.0|1|0|171580431,171579408,171580945|6|CNCRCANZ42G|29|128011|188888
2016-02-21@23:03:40.|26.0|1|0|171673865,171580431|6|CNCRCANZ11G|29|28018|20430
2016-02-21@23:00:11.|219.0|1|22|171580431,171580688,171579408|6|CNCRCANZ12G|29|8511|10339
2016-02-21@23:00:11.|219.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-21@23:00:20.|21.0|1|22|171712783,171580431|6|CNCRCANZ31G|29|11780|12336
2016-02-21@23:00:22.|19.0|1|22|171712783,171579408,171580431|6|CNCRCANZ31G|29|8774|7264
2016-02-21@23:01:18.|221.0|1|22|171580431|6|CNCRCANZ51G|29|14110|13888
2016-02-21@23:04:14.|0.0|1|19|171580431,171762696|6|CNCRCANZ12G|29|63|255
2016-02-21@23:05:17.|114.0|1|22|171580431|6|CNCRCANZ32G|29|63|79
2016-02-21@23:02:00.|9.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-21@23:02:06.|128.0|1|22|171580431,171580945|6|CNCRCANZ32G|29|10939|6531
2016-02-21@23:05:17.|80.0|1|22|171580431|6|CNCRCANZ31G|29|10926|9633
2016-02-21@23:00:09.|43.0|1|22|171580431|6|CNCRCANZ41G|29|1448|7056
2016-02-21@23:02:25.|0.0|1|19|171580431,171581711|6|CNCRCANZ31G|29|97|225
2016-02-21@23:01:20.|47.0|1|22|171580431|6|CNCRCANZ12G|29|108|0
2016-02-21@23:02:36.|116.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-21@23:05:47.|66.0|1|22|171580431|6|CNCRCANZ31G|29|2794|955
2016-02-21@23:02:13.|263.0|1|22|171580431|6|CNCRCANZ42G|29|6905|8014
2016-02-21@23:03:45.|10.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-21@23:00:25.|276.0|1|22|171580431|6|CNCRCANZ31G|29|108|0
2016-02-21@23:08:40.|197.0|1|22|171579408,171580431,171580688,171580431|6|CNCRCANZ31G|29|15793|68835
2016-02-21@23:00:07.|415.0|1|22|171580432,171580688,171580431|6|CNCRCANZ42G|29|29087|43734
2016-02-21@23:02:05.|126.0|1|22|171580431|6|CNCRCANZ31G|29|15359|101018
2016-02-21@23:02:11.|184.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:05:49.|7.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:00:07.|88.0|1|16|171580431|6|CNCRCANZ32G|29|439338|19561644
2016-02-21@23:01:35.|53.0|1|22|171580431|6|CNCRCANZ32G|29|387473|14095871
2016-02-21@23:04:41.|115.0|1|22|171580431,171579408,171580431,171673865,171580688,171580431,171580688,171694609,171580945|6|CNCRCANZ11G|29|130191|240133
2016-02-21@23:02:04.|1543.0|1|22|171762703,171579919,171579665,171579658,171580431|6|CNCRCANZ42G|29|199423|802813
2016-02-21@23:03:45.|345.0|1|22|171580432,171581711,171580431,171580688,171580431,171580688,171580945,171580688,171579408|6|CNCRCANZ52G|29|244915|422409
2016-02-21@23:07:09.|97.0|1|22|171580431,171579151,171723280|6|CNCRCANZ41G|29|311|167
2016-02-21@23:07:09.|97.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-21@23:03:15.|45.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:03:15.|45.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:06:33.|8.0|1|22|171580431|6|CNCRCANZ32G|29|205|157
2016-02-21@23:01:24.|458.0|1|22|171580431|6|CNCRCANZ11G|29|77065|176016
2016-02-21@23:09:40.|316.0|1|22|171580431,171581711|6|CNCRCANZ11G|29|74769|600879
2016-02-21@23:05:59.|13.0|1|22|171580431|6|CNCRCANZ32G|29|40153|224675
2016-02-21@23:05:59.|13.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-21@23:02:29.|60.0|1|22|171580431|6|CNCRCANZ12G|29|895|1844
2016-02-21@23:07:19.|318.0|1|19|171580431,171580688,171580689,171580687,171579664,171581968,171579664,171581968,171580687|6|CNCRCANZ32G|29|1348122|1615752
2016-02-21@23:02:25.|701.0|1|19|171580431,171673864,171579657,171580687,171581968,171580687,171673864,171581961,171579657,171581961,173371914|6|CNCRCANZ51G|29|220955|1496398
2016-02-21@23:03:31.|345.0|1|19|171723279,171723281,171578896,171723280,171579408,171723280,171579408,171580431|6|CNCRCANZ12G|29|173943|169351
2016-02-21@23:09:16.|0.0|1|19|171723279,171580431|6|CNCRCANZ12G|29|78|128
2016-02-21@23:01:03.|264.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-21@23:04:59.|34.0|1|22|171579408,171580431,171579408|6|HSTNTXGW01-PGW|29|64|245
2016-02-21@23:04:47.|1226.0|1|22|171581711,171580432,171581711,171580432,171580431,171579408|6|CNCRCANZ11G|29|42249|62152
2016-02-21@23:04:23.|406.0|1|22|171580688,171580431|6|CNCRCANZ32G|29|13210|15021
2016-02-21@23:02:16.|182.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-21@23:02:52.|131.0|1|22|171581711,171580431,171580432,171579151,171580432|6|CNCRCANZ51G|29|29104|10053
