DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-16@23:00:39.|17.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-16@23:00:47.|53.0|1|0|171580431,171580688|6|CNCRCANZ41G|29|105367|105896
2016-02-16@23:02:01.|267.0|1|22|171580431,171579408|6|CNCRCANZ51G|29|17059|14333
2016-02-16@23:00:06.|18.0|1|0|171580937,171580431|6|CNCRCANZ12G|29|0|7802
2016-02-16@23:02:26.|81.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-16@23:05:49.|80.0|1|22|171580431,171579408,171580431,171580688,171581711,171579151,171578896,171723281|6|CNCRCANZ42G|29|29687|66624
2016-02-16@23:04:04.|121.0|1|22|171580431,171579158|6|CNCRCANZ42G|29|9339|7844
2016-02-16@23:02:04.|90.0|1|0|171579144,171580431,171579408,171580432,171579151|6|CNCRCANZ11G|29|172589|242994
2016-02-16@23:05:39.|31.0|1|19|171579408,171580431,171580688,171579408|6|CNCRCAGW01-PGW|29|198613|3229057
2016-02-16@23:06:10.|20.0|1|22|171580431|6|CNCRCAGW01-PGW|29|1478|989
2016-02-16@23:00:12.|14.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-16@23:00:06.|85.0|1|22|171580431,171591695|6|CNCRCANZ52G|29|535|260
2016-02-16@23:00:32.|5.0|1|0|171580431|6|CNCRCANZ32G|29|0|9301
2016-02-16@23:00:00.|20.0|1|0|171580431|6|CNCRCANZ31G|29|0|8699
2016-02-16@23:03:11.|3.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-16@23:03:31.|601.0|1|22|171580431,171579408,171580431|6|CNCRCAGW01-PGW|29|2329|5089
2016-02-16@23:00:20.|429.0|1|22|171580432,172195857,171579151,171580432,171580688,171580431|6|CNCRCANZ32G|29|102466|987146
2016-02-16@23:00:47.|208.0|1|22|171580431|6|CNCRCANZ31G|29|3242|10987
2016-02-16@23:00:47.|208.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-16@23:07:14.|162.0|1|22|171580431|6|CNCRCANZ42G|29|11003|19282
2016-02-16@23:04:13.|300.0|1|0|171580431|6|CNCRCANZ51G|29|0|0
2016-02-16@23:02:31.|215.0|1|16|171580432,171580688,171579408,171580431|6|CNCRCANZ52G|29|682302|19318201
2016-02-16@23:06:37.|413.0|1|22|171580431,171579408,171580431|6|CNCRCANZ12G|29|31043|41973
2016-02-16@23:06:37.|413.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-16@23:09:08.|278.0|1|16|171580432,171580431,171580688,171580431|6|CNCRCANZ52G|29|495493|19504864
2016-02-16@23:09:56.|73.0|1|22|171580431,171579144|6|CNCRCANZ51G|29|16726|28723
2016-02-16@23:02:28.|268.0|1|22|171723279,171723281,171723280,171578896,171723280,171578896,171580431,171723280,171580431,171579408,171580431,171580688|6|CNCRCANZ41G|29|105907|188686
2016-02-16@23:06:28.|568.0|1|22|171673864,171673865,171580431,171579408,171580688,171579408|6|CNCRCANZ41G|29|37495|102267
2016-02-16@23:04:43.|0.0|1|22|171580431,171581967|6|CNCRCANZ32G|29|360|748
2016-02-16@23:02:41.|58.0|1|22|171580431,171580688|6|CNCRCANZ52G|29|8759|23209
2016-02-16@23:02:41.|58.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-16@23:03:30.|96.0|1|0|171580431,171712783|6|CNCRCANZ41G|29|4784|11255
2016-02-16@23:03:32.|94.0|1|0|171580431|6|CNCRCANZ41G|29|8007|6312
2016-02-16@23:00:19.|200.0|1|22|171580431,171579408|6|CNCRCANZ12G|29|137735|200069
2016-02-16@23:00:19.|200.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-16@23:05:59.|80.0|1|22|171580431,171712783,171579408|6|CNCRCANZ12G|29|10635|9313
2016-02-16@23:05:59.|80.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-16@23:09:27.|461.0|1|22|171579408,171580431,171579408|6|CNCRCANZ52G|29|64257|56967
2016-02-16@23:09:13.|128.0|1|22|171581711,171580431|6|CNCRCANZ32G|29|23043|196258
2016-02-16@23:03:40.|301.0|1|0|171580431,171580688,171580431,171580688,171579408,171580688,171580431,171580688,171673865,171579144|6|CNCRCANZ42G|29|987806|502718
2016-02-16@23:00:45.|332.0|1|22|171580432,171579151,171581711,171579151,171591695,171579158,171591695,171579408,171590415,171580431,171579151|6|CNCRCANZ32G|29|70611|335729
2016-02-16@23:06:39.|547.0|1|22|171579408,171580431,171723280,171723281,171723279,171578896|6|CNCRCANZ32G|29|19777|172177
2016-02-16@23:07:18.|657.0|1|22|171589649,171712784,171712785,171579408,171580431|6|CNCRCANZ32G|29|198676|2712423
2016-02-16@23:08:01.|393.0|1|22|171580432,171580431,171580688,171580431,171579408|6|CNCRCANZ42G|29|35156|479292
2016-02-16@23:06:50.|304.0|1|19|171580431,171591695,171580431|6|CNCRCAGW01-PGW|29|36358|105213
2016-02-16@23:00:49.|589.0|1|22|171580431|6|CNCRCAGW01-PGW|29|81600|2157418
2016-02-16@23:05:11.|266.0|1|22|171580431,171580688,171580431|6|CNCRCANZ42G|29|112719|1145125
2016-02-16@23:01:07.|241.0|1|22|171535881,171723280,171580431,171578889,171723280,171723281,171723279|6|CNCRCANZ12G|29|312496|719745
2016-02-16@23:02:26.|81.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-16@23:04:26.|139.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-16@23:05:50.|210.0|1|22|171580431|6|CNCRCANZ41G|29|613|679
2016-02-16@23:06:07.|201.0|1|16|171579408,171580688,171580431,171580688,171580431,171580688,171580431,171579408,171580431|6|CNCRCANZ42G|29|290599|19714682
2016-02-16@23:06:15.|770.0|1|0|171580431|6|CNCRCANZ31G|29|0|141
2016-02-16@23:08:22.|255.0|1|22|171580431|6|CNCRCAGW01-PGW|29|102682|1792805
2016-02-16@23:01:43.|423.0|1|22|171580688,171579408,171673865,171580431|6|CNCRCANZ12G|29|305133|1611801
2016-02-16@23:02:48.|288.0|0|19|171580687,171580688,171580431,171579408|6|CNCRCANZ41G|28|6874|8043
2016-02-16@23:06:54.|160.0|1|22|171580431,171579408,171580431|6|CNCRCANZ41G|29|2646|1291
2016-02-16@23:09:51.|224.0|1|22|171580431,171580432,171723280,171579408|6|CNCRCANZ41G|29|4725|7782
2016-02-16@23:09:14.|190.0|1|19|171579151,171580431,171580432,171579151|6|CNCRCAGW01-PGW|29|62824|124564
2016-02-16@23:03:35.|369.0|1|22|171580431,171579408,171580431,171581711,171580431,171579408,171580431,171581711,171580431|6|CNCRCANZ31G|29|664336|4898626
2016-02-16@23:07:07.|60.0|1|22|171580431|6|CNCRCANZ31G|29|40|0
2016-02-16@23:03:46.|53.0|1|22|171580431|6|CNCRCANZ11G|29|0|0
2016-02-16@23:03:25.|218.0|1|22|171580431|6|CNCRCANZ52G|29|108|0
2016-02-16@23:03:25.|218.0|1|22|171580431|6|CNCRCANZ52G|29|8291|14839
2016-02-16@23:07:36.|363.0|1|22|171580431,171580432|6|CNCRCANZ12G|29|8508|7464
2016-02-16@23:03:39.|151.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-16@23:03:41.|99.0|1|22|171580431|6|CNCRCANZ12G|29|108|3396
2016-02-16@23:04:13.|252.0|1|19|171580431,171580688,171579408,171582223,171580431,171723280,171579408,171580431,171579408,171723280,171578896,171580431,171723280,171580431,171578896,171723280|6|CNCRCANZ12G|29|100375|584857
2016-02-16@23:06:10.|127.0|1|16|171579408,171580431,171579408,171580431,171580688,171579408,171580431|6|CNCRCANZ31G|29|663674|19340048
2016-02-16@23:02:14.|69.0|1|22|171580688,171580431,171579408|6|CNCRCANZ12G|29|33571|1024145
2016-02-16@23:07:05.|247.0|1|22|171580431,171579408,171580431,171580688,171579408,171580688,171579408|6|CNCRCANZ52G|29|228566|11975012
2016-02-16@23:07:21.|346.0|1|22|171580431,171581711|6|CNCRCANZ12G|29|374|0
2016-02-16@23:01:28.|54.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-16@23:00:17.|20.0|1|0|171580431|6|CNCRCANZ42G|29|0|51911
2016-02-16@23:04:56.|347.0|1|22|171580688,171579408,171580431|6|CNCRCANZ11G|29|16897|94355
2016-02-16@23:09:41.|454.0|1|22|171589649,171579408,171580431,171579408|6|CNCRCANZ11G|29|284|260
2016-02-16@23:00:46.|0.0|1|19|171580431,171579151|6|CNCRCANZ31G|29|97|225
2016-02-16@23:02:27.|318.0|1|19|171580431,171582223,171581711,171579151,171580431,171579158,171580431,171580688,171580431,171580688,171580431,171579151|6|CNCRCANZ32G|29|472043|211980
2016-02-16@23:03:57.|43.0|1|0|171580431|6|CNCRCANZ32G|29|55012|148197
2016-02-16@23:04:37.|233.0|1|22|171580431|6|CNCRCANZ32G|29|2084|5197
2016-02-16@23:04:37.|233.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-16@23:07:19.|301.0|1|22|171580431|6|CNCRCANZ12G|29|360|484
2016-02-16@23:07:23.|96.0|1|0|171579408,171581711,171580688,171580431,171580688,171580431,171579408,171580688|6|CNCRCANZ32G|29|191314|158716
2016-02-16@23:02:03.|238.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-16@23:05:18.|302.0|1|22|171580431,171579408,171580431,171579408,171580431,171579408,171580431,171579408,171580431,171579408|6|CNCRCANZ52G|29|228989|2145504
2016-02-16@23:07:07.|491.0|1|0|171580431|6|CNCRCANZ31G|29|0|80
2016-02-16@23:00:08.|359.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-16@23:00:48.|0.0|1|19|171580431,171713807|6|CNCRCANZ12G|29|66|82
2016-02-16@23:06:49.|124.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-16@23:08:20.|310.0|1|22|171535881,171580937,171535881,171580937,171535881,171580937,171580431,171580432,171723280,171580432|6|CNCRCANZ12G|29|34848|61037
2016-02-16@23:00:46.|884.0|1|19|173371914,171579657,173371914,171581961,171579657,171581961,171673864,171579664,171580687,171673865,171579408,171580688,171580431|6|CNCRCANZ12G|29|264140|10330868
2016-02-16@23:01:38.|718.0|1|19|171581711,171580431,171580688,171673865,171579657,171581961,171579657,173371914,171579664,171579657,171579664,171723281,171579664|6|CNCRCANZ12G|29|98482|933886
2016-02-16@23:02:34.|343.0|1|22|171579158,171579151,171580432,171581711,171579151,171580432,171579151,171580431,171579151|6|CNCRCANZ51G|29|48474|56609
