DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-17@23:01:15.|393.0|1|22|171673865,171580431,171580688,171580431,171580432,171723280|6|CNCRCANZ11G|29|19560|66818
2016-02-17@23:01:56.|356.0|1|22|171580431,171579408,171580431|6|CNCRCANZ32G|29|23014|17675
2016-02-17@23:03:15.|537.0|1|19|171580431,171579408|6|CNCRCAGW01-PGW|29|532|2696
2016-02-17@23:01:10.|7.0|1|22|171580431|6|CNCRCANZ11G|29|12584|336990
2016-02-17@23:02:14.|768.0|1|19|171580432,171579151,171580432,171580688,171580431,171580688,171580431,171580688,171580689,171580687,171579664|6|CNCRCANZ31G|29|52302|302574
2016-02-17@23:04:39.|20.0|1|0|171580431|6|CNCRCANZ31G|29|0|11309
2016-02-17@23:05:56.|20.0|1|0|171580431|6|CNCRCANZ31G|29|0|13906
2016-02-17@23:04:07.|203.0|1|22|171579408,171580431,171579408,171580431,171579408|6|CNCRCANZ42G|29|177070|1494776
2016-02-17@23:07:55.|367.0|1|19|171580688,171579408,171580431,171580688,171580431,171580688,171673865,171673866,171673864,171579657,171581968,171579664,171581968|6|CNCRCANZ42G|29|570389|7236878
2016-02-17@23:06:22.|623.0|1|19|171579408,171580431,171579408,171580431,171580688,171673865,171673864,171579657,171673864,171579657,171673864|6|CNCRCANZ51G|29|441744|1020571
2016-02-17@23:06:29.|86.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-17@23:01:02.|1170.0|1|22|171580431|6|CNCRCANZ12G|29|108|0
2016-02-17@23:05:52.|217.0|1|16|171580431,171580688,171580431|6|CNCRCANZ31G|29|1202644|18825964
2016-02-17@23:09:29.|148.0|1|22|171580431,171723280,171579408,171580432|6|CNCRCANZ31G|29|1148816|17094548
2016-02-17@23:05:12.|0.0|1|19|171580431,172196625|6|CNCRCANZ11G|29|77|141
2016-02-17@23:05:04.|241.0|1|19|171580431,171579151,171579408,171579151,171580431,171579408,171580431,171591695,171581711,171579144,171580432|6|CNCRCANZ12G|29|131483|304213
2016-02-17@23:09:05.|0.0|1|19|171580431,171580432|6|CNCRCANZ12G|29|453|1093
2016-02-17@23:02:54.|551.0|1|22|171580432,171580431,171579408|6|CNCRCANZ31G|29|43783|124571
2016-02-17@23:05:36.|60.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-17@23:05:36.|60.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-17@23:06:56.|213.0|1|16|171581711,171579408,171580431,171579408,171723280,171578896|6|CNCRCANZ51G|29|576736|19448313
2016-02-17@23:08:54.|152.0|1|22|171580431|6|CNCRCANZ11G|29|0|0
2016-02-17@23:05:37.|63.0|1|22|171580688,171580431,171580688,171580431|6|CNCRCANZ42G|29|65369|647320
2016-02-17@23:08:14.|622.0|1|22|171580431,171579408,171580431,171712783,171579408|6|CNCRCANZ42G|29|82432|558189
2016-02-17@23:03:04.|416.0|1|22|171580688,171579408,171580688,171580431,171580432|6|CNCRCANZ31G|29|8936|9908
2016-02-17@23:00:05.|149.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-17@23:05:01.|268.0|1|22|171580431|6|CNCRCANZ51G|29|10774|14387
2016-02-17@23:03:06.|211.0|1|19|171579408,171580943,171580431,171579408|6|CNCRCAGW01-PGW|29|2651|11936
2016-02-17@23:00:33.|370.0|0|0|171581961,171673864,171673865,171580431|6|CNCRCANZ32G|28|1410|1619
2016-02-17@23:08:07.|174.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-17@23:08:07.|174.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-17@23:05:22.|333.0|1|19|171579408,171580431,171580688,171580431,171579408,171535881,171580431,171580688,171535881,171580431,171579408,171580432|6|CNCRCANZ12G|29|470872|3959588
2016-02-17@23:08:36.|165.0|1|19|171579144,171673865,171579144,171673865,171580937,171535881,171578889,171535881,172449544,171535881,171578889,171580431,171580688|6|CNCRCANZ52G|29|176814|1005636
2016-02-17@23:02:31.|796.0|1|19|171673865,171580431,171580688,171580431,171581711,171580431,171580432,171723280,171579408,171579151,171579158,171579159|6|CNCRCANZ31G|29|503023|7824562
2016-02-17@23:03:37.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-17@23:03:59.|328.0|1|19|171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431|6|CNCRCANZ41G|29|549438|8144307
2016-02-17@23:00:08.|274.0|1|22|171579408,171580431,171579408,171580431,171581711,171580431|6|CNCRCANZ11G|29|76948|1748627
2016-02-17@23:05:16.|149.0|1|22|171580431,171579408,171580431|6|CNCRCAGW01-PGW|29|3768|34750
2016-02-17@23:00:39.|311.0|1|22|171579664,171581968,171580687,171673864,171673865,171582216,171580431,171579408,171694609,171579408|6|CNCRCANZ51G|29|53491|125756
2016-02-17@23:06:36.|202.0|1|22|171579408,171580688,171579408,171580431,171580688,171580431,171579408,171535881,171579408|6|CNCRCANZ51G|29|29720|60432
2016-02-17@23:09:02.|458.0|1|22|171579408,171580688,171580431,171578896,171723280|6|CNCRCANZ31G|29|10359|15033
2016-02-17@23:04:00.|358.0|1|22|171578889,172449544,171535881,171579144,171579408,171580431,171579144|6|CNCRCANZ12G|29|15426|15766
2016-02-17@23:04:12.|455.0|1|22|171579408,171580431,171580432|6|CNCRCANZ32G|29|1099|1421
2016-02-17@23:04:26.|209.0|1|22|171579408,171580431|6|CNCRCANZ51G|29|4147|6674
2016-02-17@23:04:09.|18.0|1|16|171580431|6|CNCRCANZ52G|29|611058|19394880
2016-02-17@23:04:27.|10.0|1|16|171580431|6|CNCRCANZ52G|29|385976|19618984
2016-02-17@23:04:37.|8.0|1|16|171580431|6|CNCRCANZ52G|29|446870|19557157
2016-02-17@23:04:45.|9.0|1|16|171580431|6|CNCRCANZ52G|29|449178|19554191
2016-02-17@23:05:23.|34.0|1|16|171579408,171580431|6|CNCRCANZ52G|29|465921|19536621
2016-02-17@23:05:57.|13.0|1|16|171580431|6|CNCRCANZ52G|29|395488|19608584
2016-02-17@23:06:10.|13.0|1|16|171580431|6|CNCRCANZ52G|29|348928|19654010
2016-02-17@23:06:23.|8.0|1|16|171580431|6|CNCRCANZ52G|29|291593|19712533
2016-02-17@23:06:31.|20.0|1|16|171580431|6|CNCRCANZ52G|29|412480|19606014
2016-02-17@23:06:51.|39.0|1|16|171580431|6|CNCRCANZ52G|29|491314|19512582
2016-02-17@23:07:30.|58.0|1|16|171580431|6|CNCRCANZ52G|29|571561|19432658
2016-02-17@23:06:34.|67.0|1|0|171580431|6|CNCRCANZ11G|29|173877|121293
2016-02-17@23:08:59.|224.0|1|22|171580431,171580432|6|CNCRCANZ32G|29|18242|29984
2016-02-17@23:01:37.|0.0|1|19|171580431,172196618|6|CNCRCANZ32G|29|783|1737
2016-02-17@23:01:57.|419.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-17@23:01:06.|680.0|1|22|171580431,171579408|6|CNCRCANZ11G|29|21648|16108
2016-02-17@23:02:10.|782.0|1|22|171580431,171581967|6|CNCRCANZ12G|29|2228|952
2016-02-17@23:06:59.|244.0|1|22|171580431|6|CNCRCANZ51G|29|3541|1935
2016-02-17@23:05:18.|127.0|1|22|171535881,171580431|6|CNCRCANZ51G|29|365|1052
2016-02-17@23:00:42.|278.0|1|22|171579408,171580431,171579408,171580431|6|CNCRCANZ51G|29|481317|1030658
2016-02-17@23:08:43.|317.0|1|19|171723279,171723281,171578896,171580431,171579408,171579151,171723280,171580431,171580688,171580431,171579151,171578896,171580431,171579408|6|CNCRCANZ51G|29|674797|2511906
2016-02-17@23:05:13.|11.0|1|22|171580431|6|CNCRCAGW01-PGW|29|0|0
2016-02-17@23:06:34.|41.0|1|22|171580431|6|CNCRCAGW01-PGW|29|0|0
2016-02-17@23:07:47.|302.0|1|19|171580431,171580688|6|CNCRCAGW01-PGW|29|0|0
2016-02-17@23:09:28.|190.0|1|16|171580432,171579151,171580432,171580688,171580431|6|CNCRCANZ12G|29|509067|19499766
2016-02-17@23:01:38.|329.0|1|22|171580431,171580688,171580431|6|CNCRCAGW01-PGW|29|31244|110651
2016-02-17@23:00:54.|45.0|1|22|171579408,171580431|6|CNCRCANZ31G|29|0|160
2016-02-17@23:00:12.|23.0|1|19|171580431,171579408,171580431|6|CNCRCAGW01-PGW|29|9537|6662
2016-02-17@23:00:35.|12.0|1|22|171580431,171579408,171580431|6|CNCRCAGW01-PGW|29|4093|7696
2016-02-17@23:04:09.|36.0|1|19|171580688,171580431,171580688|6|CNCRCAGW01-PGW|29|20341|17278
2016-02-17@23:04:45.|279.0|1|19|171673865,171580431,171580688,171673865|6|CNCRCAGW01-PGW|29|3804954|116130
2016-02-17@23:00:50.|227.0|1|22|171579408,171580688,171579408,171580688,171579408,171535881,171579408,171580431|6|CNCRCANZ41G|29|645038|7045161
2016-02-17@23:05:12.|349.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-17@23:05:54.|216.0|1|22|171580431|6|CNCRCANZ32G|29|7744|16205
2016-02-17@23:02:12.|281.0|1|22|171580688,171535881,171673865,171580431|6|CNCRCANZ11G|29|19877|18086
2016-02-17@23:06:01.|32.0|1|0|171673865,171580431|6|CNCRCANZ11G|29|84409|73574
2016-02-17@23:03:06.|956.0|1|22|171580688,171580431,171579151|6|CNCRCANZ31G|29|13029|14214
2016-02-17@23:06:38.|289.0|1|22|171579408,171580431,171579408,171580431|6|CNCRCANZ12G|29|68928|119413
2016-02-17@23:04:14.|244.0|1|19|171579144,171581711,171580432,171579151,171580432,171579151,171579144,171581711,171580688,171580431|6|CNCRCANZ51G|29|1112174|2487139
2016-02-17@23:08:18.|0.0|1|19|171579144,171580431|6|CNCRCANZ51G|29|68|276
2016-02-17@23:06:09.|47.0|1|0|171580431|6|CNCRCANZ12G|29|137458|82468
2016-02-17@23:07:03.|3.0|1|0|171580431|6|CNCRCANZ12G|29|0|1343
2016-02-17@23:01:03.|316.0|1|22|171579144,171580431,171580688,171580431,171579151,171723280,171580432,171581711,171580432,171579151|6|CNCRCANZ31G|29|216301|2524581
