DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-20@23:05:15.|16.0|1|22|171580431|6|CNCRCANZ42G|29|62804|127960
2016-02-20@23:05:07.|76.0|1|22|171579151,171580431,171580432,171579151|6|HSTNTXGW01-PGW|29|3708|6978
2016-02-20@23:04:51.|3.0|1|22|171580431|6|HSTNTXGW01-PGW|29|101922|3721563
2016-02-20@23:05:05.|85.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-20@23:03:44.|42.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-20@23:03:39.|34.0|1|22|171579408,171580431|6|CNCRCANZ31G|29|2356|1016
2016-02-20@23:04:06.|183.0|1|0|171580431|6|HSTNTXGW01-PGW|29|0|0
2016-02-20@23:00:54.|107.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-20@23:05:14.|81.0|1|0|171578896,171580431,171723280,171581711,171580688,171579408,171579151|6|CNCRCANZ52G|29|151109|140807
2016-02-20@23:07:46.|43.0|1|0|171580431|6|CNCRCANZ31G|29|100336|109210
2016-02-20@23:02:40.|279.0|1|19|171580431,171673865,171580431|6|HSTNTXGW01-PGW|29|35772|53445
2016-02-20@23:02:46.|47.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-20@23:00:15.|55.0|1|16|171579408,171580688,171579408,171580688,171580431,171580688|6|CNCRCANZ32G|29|529681|19471436
2016-02-20@23:02:25.|48.0|1|22|171580431,171694609,171723281|6|CNCRCANZ51G|29|38075|34190
2016-02-20@23:04:40.|0.0|1|19|171580431,171729943|6|CNCRCANZ42G|29|209|536
2016-02-20@23:09:33.|78.0|1|19|171580431,171580432,171580688,171580431|6|HSTNTXGW01-PGW|29|4161|3216
2016-02-20@23:01:11.|798.0|1|19|171580432,171580431,171580688,171580431,171580688,171580431,171580688,171673865,171673866,171673864,171581961,171579657,171581961,173371914|6|CNCRCANZ52G|29|420808|1581555
2016-02-20@23:01:59.|836.0|1|19|171580431,171578896,171579151,171579408,171578896,171723280,171723279,171694608,171589648,171589647,171578641,171578639|6|CNCRCANZ11G|29|60869|82824
2016-02-20@23:04:10.|65.0|1|0|171580431|6|CNCRCANZ52G|29|5468|3490
2016-02-20@23:05:16.|15.0|1|22|171580431|6|CNCRCANZ42G|29|8605|7491
2016-02-20@23:09:27.|206.0|1|19|171580688,171579408,171580431,171580688|6|HSTNTXGW01-PGW|29|5136|6298
2016-02-20@23:03:59.|75.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-20@23:01:26.|63.0|1|22|171580432,171580431|6|CNCRCANZ51G|29|2706|104
2016-02-20@23:03:05.|105.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-20@23:01:58.|275.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
