DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-19@23:00:44.|24.0|1|0|171580431,171580688|6|CNCRCANZ32G|29|50215|51245
2016-02-19@23:02:00.|134.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-19@23:04:16.|24.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-19@23:03:11.|101.0|1|22|171580688,171580431,171579408,171580431,171579408,171580431,171579408|6|CNCRCANZ41G|29|322173|5172288
2016-02-19@23:06:17.|59.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-19@23:00:01.|81.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-19@23:01:34.|35.0|1|22|171580431|6|CNCRCANZ12G|29|759|1885
2016-02-19@23:03:15.|317.0|1|16|171580688,171580431,171580688|6|CNCRCANZ31G|29|352657|19648405
2016-02-19@23:02:24.|14.0|1|16|171580431|6|CNCRCANZ52G|29|424737|19575592
2016-02-19@23:02:56.|152.0|1|22|171579409,171580431|6|CNCRCANZ41G|29|0|40
2016-02-19@23:01:16.|731.0|1|19|171580431,171580688,171579408,171580688,171579408,171580688,171580431,171579408,171580688,171673865,171579657,171673864,171581961,171579657,171581961,171579657,173371914,171579657,173371914,171579657|6|CNCRCANZ32G|29|2596754|1620606
2016-02-19@23:05:23.|939.0|1|19|171580688,171673865,171579144,171535881,171580431,171580432,171579151,171580432,171579151,171579158,171579144|6|CNCRCANZ31G|29|251808|4728844
2016-02-19@23:03:15.|565.0|1|22|171579144,171579151,171581711,171580688,171579408,171580432,171579408,171580432,171581711,171580431,171673865|6|CNCRCANZ32G|29|96903|415877
2016-02-19@23:01:37.|178.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-19@23:02:20.|283.0|1|22|171580431,171580688,171580431,171579408,171580432|6|CNCRCANZ41G|29|846320|7083439
2016-02-19@23:06:39.|78.0|1|16|171579408,171580431,171580688,171580431,171580688|6|CNCRCANZ41G|29|629226|19376859
2016-02-19@23:02:00.|134.0|1|22|171580431|6|CNCRCANZ12G|29|602|1465
2016-02-19@23:07:53.|56.0|1|22|171580431|6|CNCRCANZ11G|29|0|0
2016-02-19@23:06:31.|511.0|1|22|171580431|6|CNCRCANZ52G|29|536189|10424122
2016-02-19@23:06:31.|511.0|1|22|171580431|6|CNCRCANZ52G|29|7388|8240
2016-02-19@23:03:21.|152.0|1|22|171580431,171580688,171580431,171579408,171580431,171579408,171581711,171579409|6|CNCRCANZ42G|29|117096|3847498
2016-02-19@23:03:21.|152.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-19@23:08:13.|90.0|1|22|171579408,171580431,171579408,171723280|6|CNCRCANZ31G|29|34183|54762
