DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-18@23:08:16.|43.0|1|0|171580431|6|CNCRCANZ32G|29|67625|108118
2016-02-18@23:04:34.|0.0|1|19|171580431,171580688|6|CNCRCANZ42G|29|155|187
2016-02-18@23:03:30.|660.0|1|19|171579285,171579408,171580432,171579408,171580432,171581711,171580688,171580431,171580688,171673865,171580688,171580431|6|CNCRCANZ31G|29|150275|241456
2016-02-18@23:02:03.|83.0|1|22|171580431,172449544|6|CNCRCANZ51G|29|822|374
2016-02-18@23:02:03.|83.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-18@23:04:10.|700.0|1|22|171581711,171580431,171581711,171580688,171535881,171723281,171582230,171591695,171580688|6|CNCRCANZ51G|29|4458|7409
2016-02-18@23:06:57.|612.0|1|19|171673865,171535881,171579408,171535881,171673865,171579408,171580688,171579408,171580688,171579408,171580431|6|CNCRCANZ12G|29|279416|1338869
2016-02-18@23:01:17.|182.0|1|22|171579408,171580431|6|CNCRCANZ52G|29|27054|1099467
2016-02-18@23:09:36.|211.0|1|22|171582223,171580431,171690511,171579151|6|CNCRCANZ31G|29|14983|25432
2016-02-18@23:04:36.|68.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-18@23:02:42.|70.0|1|0|171580431,171580688,171580431,171580688|6|CNCRCANZ11G|29|215497|95505
2016-02-18@23:08:18.|251.0|1|22|171580432,171580431,171580432|6|HSTNTXGW01-PGW|29|165757|1155602
2016-02-18@23:01:53.|114.0|1|22|171580431,171580688,171580431|6|CNCRCANZ42G|29|28207|66656
2016-02-18@23:01:53.|114.0|1|22|171580431|6|CNCRCANZ42G|29|0|0
2016-02-18@23:00:31.|478.0|1|0|171580431|6|CNCRCANZ51G|29|104|80
2016-02-18@23:00:31.|478.0|1|0|171580431|6|CNCRCANZ51G|29|0|0
2016-02-18@23:09:52.|314.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
